"","V1"
"1340",0.999915
"1341",0.922889
"1342",0.930282
"1343",0.997002
"1344",0.926735
"1345",0.969501
"1346",0.992953
"1347",0.98005
"1348",0.774538
"1349",0.997321
"1350",0.990506
"1351",0.970812
"1352",0.993946
"1353",0.998314
"1354",0.989947
"1355",0.982184
"1356",0.983135
"1357",0.988582
"1358",0.887486
"1359",0.999138
"1360",0.906467
"1361",0.977855
"1362",0.994631
"1363",0.99216
"1364",0.918191
"1365",0.980715
"1366",0.983576
"1367",0.999742
"1368",0.970922
"1369",0.995854
"1370",0.943172
"1371",0.999858
"1372",0.957188
"1373",0.977238
"1374",0.91785
"1375",0.96685
"1376",0.961621
"1377",0.98509
"1378",0.992772
"1379",0.742783
"1380",0.952848
"1381",0.913079
"1382",0.974082
"1383",0.99037
"1384",0.977618
"1385",0.90701
"1386",0.980814
"1387",0.909007
"1388",0.998961
"1389",0.983036
"1390",0.908913
"1391",0.994631
"1392",0.984603
"1393",0.990988
"1394",0.982501
"1395",0.990581
"1396",0.930949
"1397",0.993742
"1398",0.920357
"1399",0.978578
"1400",0.93576
"1401",0.98823
"1402",0.982525
"1403",0.698666
"1404",0.869148
"1405",0.99076
"1406",0.97935
"1407",0.920021
"1408",0.935378
"1409",0.976101
"1410",0.982186
"1411",0.993219
"1412",0.972417
"1413",0.995774
"1414",0.993234
"1415",0.989211
"1416",0.989159
"1417",0.950646
"1418",0.93226
"1419",0.960309
"1420",0.94748
"1421",0.999691
"1422",0.995598
"1423",0.927223
"1424",0.90701
"1425",0.982602
"1426",0.978955
"1427",0.994124
"1428",0.979932
"1429",0.989586
"1430",0.979219
"1431",0.984742
"1432",0.971478
"1433",0.972123
"1434",0.998305
"1435",0.996995
"1436",0.984198
"1437",0.97591
"1438",0.97975
"1439",0.949979
"1440",0.982991
"1441",0.975936
"1442",0.848882
"1443",0.983058
"1444",0.999301
"1445",0.988582
"1446",0.973976
"1447",0.945317
"1448",0.909691
"1449",0.996599
"1450",0.988939
"1451",0.999665
"1452",0.941224
"1453",0.996623
"1454",0.977258
"1455",0.893413
"1456",0.985456
"1457",0.989646
"1458",0.984479
"1459",0.982387
"1460",0.997862
"1461",0.943969
"1462",0.846258
"1463",0.989054
"1464",0.980567
"1465",0.975073
"1466",0.983576
"1467",0.994329
"1468",0.973477
"1469",0.990823
"1470",0.999055
"1471",0.985747
"1472",0.977967
"1473",0.966377
"1474",0.990988
"1475",0.993742
"1476",0.998378
"1477",0.880435
"1478",0.75693
"1479",0.99076
"1480",0.943855
"1481",0.972019
"1482",0.953988
"1483",0.981091
"1484",0.858983
"1485",0.99515
"1486",0.989664
"1487",0.966362
"1488",0.965419
"1489",0.992088
"1490",0.992132
"1491",0.996358
"1492",0.994529
"1493",0.975936
"1494",0.968253
"1495",0.989266
"1496",0.917917
"1497",0.955042
"1498",0.994566
"1499",0.955408
"1500",0.970944
"1501",0.987665
"1502",0.993182
"1503",0.983014
"1504",0.988207
"1505",0.970262
"1506",0.907762
"1507",0.99414
"1508",0.973517
"1509",0.973719
"1510",0.984659
"1511",0.977427
"1512",0.968143
"1513",0.930949
"1514",0.930536
"1515",0.980884
"1516",0.950567
"1517",0.960016
"1518",0.957294
"1519",0.999665
"1520",0.990155
"1521",0.944408
"1522",0.685046
"1523",0.998863
"1524",0.984155
"1525",0.988411
"1526",0.995457
"1527",0.98211
"1528",0.804385
