"","V1"
"1260",0.936292
"1261",0.381789
"1262",0.860021
"1263",0.438384
"1264",0.476472
"1265",0.482852
"1266",0.698045
"1267",0.453428
"1268",0.281948
"1269",0.549537
"1270",0.410635
"1271",0.445699
"1272",0.376371
"1273",0.124092
"1274",0.416943
"1275",0.579137
"1276",0.679434
"1277",0.646774
"1278",0.344515
"1279",0.306383
"1280",0.469212
"1281",0.722121
"1282",0.308129
"1283",0.351615
"1284",0.619943
"1285",0.2497
"1286",0.3146
"1287",0.213673
"1288",0.919049
"1289",0.703527
"1290",0.77037
"1291",0.591538
"1292",0.330193
"1293",0.477355
"1294",0.511443
"1295",0.927321
"1296",0.641273
"1297",0.2424
"1298",0.818633
"1299",0.379234
"1300",0.11138
"1301",0.170385
"1302",0.296521
"1303",0.547439
"1304",0.198437
"1305",0.677153
"1306",0.628133
"1307",0.346691
"1308",0.209418
"1309",0.598825
"1310",0.324902
"1311",0.111617
"1312",0.431479
"1313",0.704951
"1314",0.445292
"1315",0.572901
"1316",0.498958
"1317",0.621186
"1318",0.575653
"1319",0.187748
"1320",0.223629
"1321",0.82094
"1322",0.541811
"1323",0.49346
"1324",0.326043
"1325",0.254538
"1326",0.311782
"1327",0.346202
"1328",0.325176
"1329",0.457317
"1330",0.342964
"1331",0.305326
"1332",0.517259
"1333",0.458842
"1334",0.416764
"1335",0.722867
"1336",0.918606
"1337",0.648767
"1338",0.201592
"1339",0.385995
"1340",0.836634
"1341",0.396038
"1342",0.438162
"1343",0.355609
"1344",0.363349
"1345",0.2457
"1346",0.458978
"1347",0.321281
"1348",0.2852
"1349",0.34216
"1350",0.816027
"1351",0.316373
"1352",0.392389
"1353",0.660206
"1354",0.302041
"1355",0.354528
"1356",0.440238
"1357",0.237071
"1358",0.817173
"1359",0.857552
"1360",0.493087
"1361",0.466302
"1362",0.936343
"1363",0.478265
"1364",0.685301
"1365",0.707799
"1366",0.834696
"1367",0.486207
"1368",0.643581
"1369",0.701398
"1370",0.8628
"1371",0.50323
"1372",0.567054
"1373",0.775498
"1374",0.651937
"1375",0.231793
"1376",0.153183
"1377",0.383859
"1378",0.336547
"1379",0.322067
"1380",0.704261
"1381",0.867166
