"","x","y"
"496",0.610899,4.56725
"497",3.53824,10.0358
"498",8.37269,5.6774
"499",9.14562,6.42431
"500",7.9438,7.93071
"501",8.78309,0.862897
"502",1.08815,7.57124
"503",5.88546,8.72561
"504",3.01359,2.40685
"505",1.31956,9.82774
"506",5.40538,5.41831
"507",8.97217,11.4261
"508",4.50141,8.83131
"509",5.34369,5.48117
"510",9.84439,7.51375
"511",10.8917,4.20981
"512",7.03546,4.36623
"513",10.4067,6.94959
"514",3.06552,6.86406
"515",3.033,7.98717
"516",10.9956,5.66399
"517",2.98398,4.70124
"518",0.539546,4.68162
"519",10.978,7.98541
"520",6.42672,3.21214
"521",8.03101,6.74237
"522",8.45848,0.987763
"523",1.11935,10.0978
"524",8.73934,2.06664
"525",7.87091,8.68096
"526",4.38817,11.3421
"527",4.12096,4.31865
"528",4.57701,5.0093
"529",9.83638,1.01321
"530",9.9817,0.776962
"531",3.12409,3.337
"532",5.50323,11.0592
"533",5.5302,3.73816
"534",3.43032,11.1248
"535",5.39278,11.2128
"536",6.21104,7.92553
"537",9.2184,2.334
"538",3.05685,3.21011
"539",5.43062,7.78206
"540",10.5012,5.0507
"541",2.80175,5.89002
"542",7.29705,5.83447
"543",4.68987,8.91522
"544",3.88365,8.71697
"545",5.19303,10.0908
"546",8.40088,3.60226
"547",0.839007,5.95951
"548",3.16151,8.8175
"549",7.39652,7.57785
"550",4.25448,11.2082
"551",0.92579,4.45951
"552",9.47384,1.66654
"553",1.99709,1.89784
"554",5.29893,2.202
"555",6.72214,0.834854
"556",9.3248,1.71957
"557",3.06865,3.70289
"558",0.909747,10.8977
"559",0.99004,10.181
"560",0.743092,4.51672
"561",2.66975,8.95302
"562",5.57918,0.84605
"563",10.285,10.117
"564",7.36504,3.39865
"565",6.07937,8.89099
"566",9.97416,7.04583
"567",4.53743,0.545228
"568",3.96208,4.07264
"569",2.31567,10.2328
"570",0.895212,11.1009
"571",7.78178,6.04416
"572",0.827317,2.00448
"573",0.997182,5.81468
"574",5.35962,5.53932
"575",3.17256,6.68048
"576",0.73477,0.877103
"577",0.87221,1.18085
"578",11.0691,5.39602
"579",1.71727,4.99199
"580",11.0572,10.7839
"581",8.29149,1.83797
"582",2.91849,6.26479
"583",2.83476,8.73553
"584",4.50967,3.20753
"585",8.27782,8.84029
"586",6.87997,6.5314
"587",4.05408,3.0595
"588",11.207,7.89984
"589",8.91105,9.06017
"590",7.90011,2.36916
"591",8.10819,10.7116
"592",4.61692,0.982829
"593",4.44519,10.9545
"594",5.28507,2.30963
"595",3.68291,2.22008
"596",10.9736,8.32607
"597",1.06827,7.00293
"598",5.16526,3.21057
"599",6.00405,2.62946
"600",7.71123,5.75213
"601",8.96613,5.17125
"602",0.987465,5.8997
"603",11.2689,1.9138
"604",6.29757,3.17882
"605",6.43608,5.63748
"606",0.909174,8.94846
"607",1.10183,8.45188
"608",4.09842,3.54356
"609",9.01251,8.01563
"610",10.0752,3.354
"611",6.27027,11.2815
